"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000100-2011","25025000100","2011",0.001194743130227,14.4304574762051,7.36874424316856,0.000614250614250614,32.8523180841265,1,0.00245700245700246,NA,NA,NA,NA,NA,NA,53699,0.00356930398572278,0.00242571255306246,0.00716845878136201,0.004778972520908,0.00594883997620464,0.00303214069132808
"25025000100-2012","25025000100","2012",0.00716845878136201,18.0759803921569,6.12745098039216,0.00356930398572278,27.2671568627451,1,0.00594883997620464,0.000614250614250614,NA,0.001194743130227,NA,0.00245700245700246,NA,53571,0.00242571255306246,0.0142063001852996,0.004778972520908,0.016726403823178,0.00303214069132808,0.0105003088326127
"25025000100-2013","25025000100","2013",0.004778972520908,13.892672296377,8.17216017433942,0.00242571255306246,39.2263688368292,1,0.00303214069132808,0.00356930398572278,0.000614250614250614,0.00716845878136201,0.001194743130227,0.00594883997620464,0.00245700245700246,54107,0.0142063001852996,0.0160142348754448,0.016726403823178,0.031063321385902,0.0105003088326127,0.103202846975089
"25025000100-2014","25025000100","2014",0.016726403823178,11.94743130227,6.45161290322581,0.0142063001852996,21.2664277180406,1,0.0105003088326127,0.00242571255306246,0.00356930398572278,0.004778972520908,0.00716845878136201,0.00303214069132808,0.00594883997620464,53015,0.0160142348754448,0.0329994107248085,0.031063321385902,0.0549581839904421,0.103202846975089,0.388921626399529
"25025000100-2015","25025000100","2015",0.031063321385902,13.9245929734362,4.28449014567266,0.0160142348754448,21.4224507283633,1,0.103202846975089,0.0142063001852996,0.00242571255306246,0.016726403823178,0.004778972520908,0.0105003088326127,0.00303214069132808,58542,0.0329994107248085,0.0474890829694323,0.0549581839904421,0.0908004778972521,0.388921626399529,0.627183406113537
"25025000100-2016","25025000100","2016",0.0549581839904421,13.0676949443016,4.71293916023993,0.0329994107248085,17.3521850899743,1,0.388921626399529,0.0160142348754448,0.0142063001852996,0.031063321385902,0.016726403823178,0.103202846975089,0.0105003088326127,69818,0.0474890829694323,NA,0.0908004778972521,NA,0.627183406113537,NA
"25025000100-2017","25025000100","2017",0.0908004778972521,10.497000856898,5.1413881748072,0.0474890829694323,17.9948586118252,1,0.627183406113537,0.0329994107248085,0.0160142348754448,0.0549581839904421,0.031063321385902,0.388921626399529,0.103202846975089,72478,NA,NA,NA,NA,NA,NA
"25025000201-2011","25025000201","2011",0,8.65384615384616,3.84615384615385,0,17.6282051282051,1,0,NA,NA,NA,NA,NA,NA,64792,0.001914486279515,0.0045016077170418,0.00402144772117962,0.00938337801608579,0,0
"25025000201-2012","25025000201","2012",0.00402144772117962,10.7386918320859,1.62707452001302,0.001914486279515,14.9690855841198,1,0,0,NA,0,NA,0,NA,65506,0.0045016077170418,0.00460526315789474,0.00938337801608579,0.00804289544235925,0,0.0289473684210526
"25025000201-2013","25025000201","2013",0.00938337801608579,7.00365408038977,4.56760048721072,0.0045016077170418,15.2253349573691,1,0,0.001914486279515,0,0.00402144772117962,0,0,0,63784,0.00460526315789474,0.00909681611435997,0.00804289544235925,0.0187667560321716,0.0289473684210526,0.120857699805068
"25025000201-2014","25025000201","2014",0.00804289544235925,7.59921193357726,1.68871376301717,0.00460526315789474,11.8209963411202,1,0.0289473684210526,0.0045016077170418,0.001914486279515,0.00938337801608579,0.00402144772117962,0,0,65446,0.00909681611435997,0.00840879689521345,0.0187667560321716,0.017426273458445,0.120857699805068,0.135187580853816
"25025000201-2015","25025000201","2015",0.0187667560321716,8.81514130152969,2.33341975628727,0.00909681611435997,5.44464609800363,1,0.120857699805068,0.00460526315789474,0.0045016077170418,0.00804289544235925,0.00938337801608579,0.0289473684210526,0,68406,0.00840879689521345,0.0122659780503551,0.017426273458445,0.0254691689008043,0.135187580853816,0.229180116204003
"25025000201-2016","25025000201","2016",0.017426273458445,7.5187969924812,1.55561317085818,0.00840879689521345,6.22245268343272,1,0.135187580853816,0.00909681611435997,0.00460526315789474,0.0187667560321716,0.00804289544235925,0.120857699805068,0.0289473684210526,80932,0.0122659780503551,NA,0.0254691689008043,NA,0.229180116204003,NA
"25025000201-2017","25025000201","2017",0.0254691689008043,5.18537723619393,1.55561317085818,0.0122659780503551,5.70391495981333,1,0.229180116204003,0.00840879689521345,0.00909681611435997,0.017426273458445,0.0187667560321716,0.135187580853816,0.120857699805068,80496,NA,NA,NA,NA,NA,NA
"25025000202-2011","25025000202","2011",0.00147492625368732,9.53481652701531,6.64547818549552,0.000651890482398957,18.2028315515747,1,0.00130378096479791,NA,NA,NA,NA,NA,NA,53542,0,0.000683526999316473,0,0.00147492625368732,0.0153538050734312,0.025974025974026
